date,date_id,year,quarter,month,month_name,year_month,day,weekday,weekday_name,is_weekend,is_complete_month
2016-03-21,20160321,2016,1,3,Mar,2016-03,21,1,Mon,False,False
2016-03-22,20160322,2016,1,3,Mar,2016-03,22,2,Tue,False,False
2016-03-23,20160323,2016,1,3,Mar,2016-03,23,3,Wed,False,False
2016-03-24,20160324,2016,1,3,Mar,2016-03,24,4,Thu,False,False
2016-03-25,20160325,2016,1,3,Mar,2016-03,25,5,Fri,False,False
2016-03-26,20160326,2016,1,3,Mar,2016-03,26,6,Sat,True,False
2016-03-27,20160327,2016,1,3,Mar,2016-03,27,7,Sun,True,False
2016-03-28,20160328,2016,1,3,Mar,2016-03,28,1,Mon,False,False
2016-03-29,20160329,2016,1,3,Mar,2016-03,29,2,Tue,False,False
2016-03-30,20160330,2016,1,3,Mar,2016-03,30,3,Wed,False,False
2016-03-31,20160331,2016,1,3,Mar,2016-03,31,4,Thu,False,False
2016-04-01,20160401,2016,2,4,Apr,2016-04,1,5,Fri,False,False
2016-04-02,20160402,2016,2,4,Apr,2016-04,2,6,Sat,True,False
2016-04-03,20160403,2016,2,4,Apr,2016-04,3,7,Sun,True,False
2016-04-04,20160404,2016,2,4,Apr,2016-04,4,1,Mon,False,False
2016-04-05,20160405,2016,2,4,Apr,2016-04,5,2,Tue,False,False
2016-04-06,20160406,2016,2,4,Apr,2016-04,6,3,Wed,False,False
2016-04-07,20160407,2016,2,4,Apr,2016-04,7,4,Thu,False,False
2016-04-08,20160408,2016,2,4,Apr,2016-04,8,5,Fri,False,False
2016-04-09,20160409,2016,2,4,Apr,2016-04,9,6,Sat,True,False
2016-04-10,20160410,2016,2,4,Apr,2016-04,10,7,Sun,True,False
2016-04-11,20160411,2016,2,4,Apr,2016-04,11,1,Mon,False,False
2016-04-12,20160412,2016,2,4,Apr,2016-04,12,2,Tue,False,False
2016-04-13,20160413,2016,2,4,Apr,2016-04,13,3,Wed,False,False
2016-04-14,20160414,2016,2,4,Apr,2016-04,14,4,Thu,False,False
2016-04-15,20160415,2016,2,4,Apr,2016-04,15,5,Fri,False,False
2016-04-16,20160416,2016,2,4,Apr,2016-04,16,6,Sat,True,False
2016-04-17,20160417,2016,2,4,Apr,2016-04,17,7,Sun,True,False
2016-04-18,20160418,2016,2,4,Apr,2016-04,18,1,Mon,False,False
